# https://airportcodes.io/en/all-airports/?filters[continent]=EU
ICAO 	IATA 	Name 	Type 	Municipality 	Country
LECO	LCG	A Coruña Airport	Medium airport	Culleredo	Spain
EKAH	AAR	Aarhus Airport	Medium airport	Aarhus	Denmark
LFOI	XAB	Abbeville	Medium airport	Abbeville	France
EDTY		Adolf Würth Airport	Medium airport	Schwäbisch Hall	Germany
LPCB		Aerodromo de Castelo Branco	Medium airport	Castelo Branco	Portugal
LPVZ	VSE	Aerodromo Goncalves Lobato (Viseu Airport)	Medium airport	Viseu	Portugal
LPCO		Aerodromo Municipal de Coimbra	Medium airport	Coimbra	Portugal
LFBA	AGF	Agen-La Garenne Airport	Medium airport	Agen/La Garenne	France
EDQA		Airport Bamberg-Breitenau	Medium airport	Bamberg	Germany
LFKJ	AJA	Ajaccio-Napoléon Bonaparte Airport	Medium airport	Ajaccio/Napoléon Bonaparte	France
LGPZ	PVK	Aktion National Airport	Medium airport	Preveza/Lefkada	Greece
BIAR	AEY	Akureyri Airport	Medium airport	Akureyri	Iceland
LEAB	ABC	Albacete-Los Llanos Airport	Medium airport	Albacete	Spain
LFCI	LBI	Albi-Le Séquestre Airport	Medium airport	Albi/Le Séquestre	France
LERI		Alcantarilla Air Base	Medium airport	Alcantarilla	Spain
EGJA	ACI	Alderney Airport	Medium airport	Saint Anne	Guernsey
LFMS		Alès-Deaux Airport	Medium airport	Alès/Deaux	France
LILA		Alessandria Airport	Medium airport	Alessandria	Italy
ENAL	AES	Ålesund Airport	Medium airport	Ålesund	Norway
LGKV	KVA	Alexander the Great International Airport	Medium airport	Kavala	Greece
LIEA	AHO	Alghero-Fertilia Airport	Medium airport	Alghero	Italy
LEAM	LEI	Almería International Airport	Medium airport	Almería	Spain
LSMA		Alpnach Air Base	Medium airport	Alpnach	Switzerland
ENAT	ALF	Alta Airport	Medium airport	Alta	Norway
EDAC	AOC	Altenburg-Nobitz Airport	Medium airport	Altenburg	Germany
LPAR	AVR	Alverca Air Base	Medium airport	Vila Franca de Xira	Portugal
EEEI		Ämari Air Base	Medium airport	Keila	Estonia
LFXA		Ambérieu Air Base (BA 278)	Medium airport	Ambérieu	France
LIBA		Amendola Air Base	Medium airport	Foggia	Italy
LFAY		Amiens-Glisy Airport	Medium airport	Amiens/Glisy	France
URKA	AAQ	Anapa Vityazevo Airport	Medium airport	Anapa	Russia
LIPY	AOI	Ancona Falconara Airport	Medium airport	Ancona	Italy
ENAN	ANX	Andøya Airport	Medium airport	Andenes	Norway
LGAD	PYR	Andravida Air Base	Medium airport	Andravida	Greece
ESTA	AGH	Ängelholm-Helsingborg Airport	Medium airport	Ängelholm	Sweden
LFJR	ANE	Angers-Loire Airport	Medium airport	Angers/Marcé	France
EGOV	VLY	Anglesey Airport	Medium airport	Angelsey	United Kingdom
LFBU	ANG	Angoulême-Brie-Champniers Airport	Medium airport	Angoulême/Brie/Champniers	France
LFLP	NCY	Annecy-Haute-Savoie-Mont Blanc Airport	Medium airport	Annecy/Meythet	France
LFLI	QNJ	Annemasse Airport	Medium airport	Annemasse	France
EBAW	ANR	Antwerp International Airport	Medium airport	Antwerp	Belgium
LIMW	AOT	Aosta Airport	Medium airport	Aosta	Italy
LRAR	ARW	Arad International Airport	Medium airport	Arad	Romania
LGRX	GPA	Araxos Airport	Medium airport	Patras	Greece
LFCH		Arcachon-La Teste-de-Buch Airport	Medium airport	Arcachon	France
ESNZ	OSD	Åre Östersund Airport	Medium airport	Östersund	Sweden
LEGA		Armilla Air Base	Medium airport	Armilla	Spain
ESNX	AJR	Arvidsjaur Airport	Medium airport	Arvidsjaur	Sweden
URWA	ASF	Astrakhan Airport	Medium airport	Astrakhan	Russia
LEAS	OVD	Asturias Airport	Medium airport	Ranón	Spain
LFHO	OBS	Aubenas-Ardèche Méridional Airport	Medium airport	Aubenas/Ardèche Méridional	France
LFDH		Auch-Lamothe Airport	Medium airport	Auch/Lamothe	France
EDMA	AGB	Augsburg Airport	Medium airport	Augsburg	Germany
LFLW	AUR	Aurillac Airport	Medium airport	Aurillac	France
LFLA	AUF	Auxerre-Branches Airport	Medium airport	Auxerre/Branches	France
LIPA	AVB	Aviano Air Base	Medium airport	Aviano (PN)	Italy
LFMV	AVN	Avignon-Caumont Airport	Medium airport	Avignon/Caumont	France
UMNB		Babruisk Air Base	Medium airport	Babruisk	Belarus
LRBC	BCM	Bacău Airport	Medium airport	Bacău	Romania
LEBZ	BJZ	Badajoz Airport	Medium airport	Badajoz	Spain
UWSB	BWO	Balakovo Airport	Medium airport	Balakovo	Russia
LBWB		Balchik Air Base	Medium airport	Balchik	Bulgaria
LUBL	BZY	Bălți International Airport	Medium airport	Bălți	Moldova
ENNA	LKL	Banak Airport	Medium airport	Lakselv	Norway
LRBS	BBU	Băneasa International Airport	Medium airport	Bucharest	Romania
LQBK	BNX	Banja Luka International Airport	Medium airport	Banja Luka	Bosnia and Herzegovina
UMMA		Baranavichi Air Base	Medium airport	Baranavichi	Belarus
ENDU	BDU	Bardufoss Airport	Medium airport	Målselv	Norway
EGPR	BRR	Barra Airport	Medium airport	Eoligarry	United Kingdom
EGNL	BWF	Barrow Walney Island Airport	Medium airport	Barrow-in-Furness	United Kingdom
EYSB	HLJ	Barysiai Airport	Medium airport	Barysiai	Lithuania
LFKB	BIA	Bastia-Poretta Airport	Medium airport	Bastia/Poretta	France
LYBT	BJY	Batajnica Air Base	Medium airport	Batajnica	Serbia
ENBS	BJF	Båtsfjord Airport	Medium airport	Båtsfjord	Norway
EDQD	BYU	Bayreuth Airport	Medium airport	Bayreuth	Germany
EBBE		Beauvechain Air Base	Medium airport	Beauvechain	Belgium
UWKE	NBC	Begishevo Airport	Medium airport	Nizhnekamsk	Russia
LPBJ	BYJ	Beja Airport / Airbase	Medium airport	Beja	Portugal
UESG	BGN	Belaya Gora Airport	Medium airport	Belaya Gora	Russia
UKFB	UKS	Belbek Airport	Medium airport	Sevastopol	Ukraine
UUOB	EGO	Belgorod International Airport	Medium airport	Belgorod	Russia
USHQ	EYK	Beloyarsk Airport	Medium airport	Khanty-Mansi Autonomous Okrug	Russia
EGPL	BEB	Benbecula Airport	Medium airport	Balivanich	United Kingdom
LFBE	EGC	Bergerac-Roumanière Airport	Medium airport	Bergerac/Roumanière	France
ENBV	BVG	Berlevåg Airport	Medium airport	Berlevåg	Norway
LSZB	BRN	Bern Airport	Medium airport	Bern	Switzerland
URMO	OGZ	Beslan Airport	Medium airport	Beslan	Russia
LFMU	BZR	Béziers-Vias Airport	Medium airport	Béziers/Vias	France
LBIA	JAM	Bezmer Air Base	Medium airport	Yambol	Bulgaria
UWWG		Bezymyanka Airfield	Medium airport	Samara	Russia
EPBP	BXP	Biała Podlaska Airfield	Medium airport	Biała Podlaska	Poland
LFBZ	BIQ	Biarritz-Anglet-Bayonne Airport	Medium airport	Biarritz/Anglet/Bayonne	France
LILE		Biella-Cerrione Airport	Medium airport	Biella (BI)	Italy
LEBB	BIO	Bilbao Airport	Medium airport	Bilbao	Spain
ESKX		Björkvik Air Base	Medium airport	Björkvik	Sweden
EGLK	BBS	Blackbushe Airport	Medium airport	Yateley	United Kingdom
EGNH	BLK	Blackpool International Airport	Medium airport	Blackpool	United Kingdom
LFOQ		Blois-Le Breuil Airport	Medium airport	Blois/Le Breuil	France
LRBO		Boboc Air Base	Medium airport	Boboc	Romania
LDSB	BWK	Bol Airport	Medium airport	Brač Island	Croatia
USPP	PEE	Perm International Airport	Medium airport	Perm	Russia
LIPB	BZO	Bolzano Airport	Medium airport	Bolzano	Italy
ESSD	BLE	Borlange Airport	Medium airport	Dalarna	Sweden
EKRN	RNN	Bornholm Airport	Medium airport	Rønne	Denmark
LFLD	BOU	Bourges Airport	Medium airport	Bourges	France
LPBR	BGZ	Braga Municipal Aerodrome	Medium airport	Braga	Portugal
LPBG	BGC	Bragança Airport	Medium airport	Bragança	Portugal
EDVE	BWE	Braunschweig-Wolfsburg Airport	Medium airport	Braunschweig	Germany
LIPO	VBS	Brescia Airport	Medium airport	Montichiari (BS)	Italy
UMBB	BQT	Brest Airport	Medium airport	Brest	Belarus
LFRB	BES	Brest Bretagne Airport	Medium airport	Brest/Guipavas	France
LIBR	BDS	Brindisi – Salento Airport	Medium airport	Brindisi	Italy
LFSL	BVE	Brive Souillac Airport	Medium airport	Corrèze	France
LKTB	BRQ	Brno-Tuřany Airport	Medium airport	Brno	Czechia
ENBN	BNN	Brønnøysund Airport	Medium airport	Brønnøy	Norway
UUBP	BZK	Bryansk Airport	Medium airport	Bryansk	Russia
ETSB		Büchel Air Base	Medium airport	Cochem	Germany
ETHB		Bückeburg Air Base	Medium airport	Bückeburg	Germany
EHBD		Budel Airport	Medium airport	Weert	The Netherlands
UWKB	UUA	Bugulma Airport	Medium airport	Bugulma	Russia
UWWB		Buguruslan Severny Airport	Medium airport	Buguruslan	Russia
LEBG	RGS	Burgos Airport	Medium airport	Burgos	Spain
EPBY	BZG	Bydgoszcz Ignacy Jan Paderewski Airport	Medium airport	Bydgoszcz	Poland
LFRK	CFR	Caen-Carpiquet Airport	Medium airport	Caen/Carpiquet	France
LFCC	ZAO	Cahors-Lalbenque Airport	Medium airport	Cahors/Lalbenque	France
LUCH		Cahul International Airport	Medium airport	Cahul	Moldova
LFAC	CQF	Calais-Dunkerque Airport	Medium airport	Calais/Dunkerque	France
LFKC	CLY	Calvi-Sainte-Catherine Airport	Medium airport	Calvi/Sainte-Catherine	France
EGSC	CBG	Cambridge Airport	Medium airport	Cambridge	United Kingdom
LIMN		Cameri Air Base [MIL]	Medium airport	Cameri (NO)	Italy
EGEC	CAL	Campbeltown Airport	Medium airport	Campbeltown	United Kingdom
LRCT		Câmpia Turzii Air Base	Medium airport	Câmpia Turzii	Romania
LFMD	CEQ	Cannes-Mandelieu Airport	Medium airport	Cannes	France
LRCS	CSB	Caransebeş Airport	Medium airport	Caransebeş	Romania
LFMK	CCF	Carcassonne Airport	Medium airport	Carcassonne/Salvaza	France
EGNC	CAX	Carlisle Airport	Medium airport	Carlisle	United Kingdom
LILM		Casale Monferrato Airport	Medium airport	Casale Monferrato	Italy
LPCS	CAT	Cascais Airport	Medium airport	Cascais	Portugal
EIME		Casement Air Base	Medium airport	Baldonnel	Ireland
LKCV		Čáslav Air Base	Medium airport	Čáslav	Czechia
LECH	CDT	Castellón-Costa Azahar Airport	Medium airport	Castellón de la Plana	Spain
LFCK	DCM	Castres-Mazamet Airport	Medium airport	Castres/Mazamet	France
LFBC		Cazaux (BA 120) Air Base	Medium airport	Cazaux (La Teste-de-Buch)	France
ETHC	ZCN	Celle Air Base	Medium airport	Celle	Germany
LJCE		Cerklje Airport	Medium airport	Cerklje ob Krki	Slovenia
LIPC		Cervia Air Base	Medium airport	Cervia	Italy
EPCE		Cewice Military Airport	Medium airport	Lębork	Poland
LFLH		Chalon-Champforgeuil Airport	Medium airport	Chalon/Champforgueil	France
LFOK	XCR	Châlons-Vatry Airport	Medium airport	Vatry	France
LFLB	CMF	Chambéry-Savoie Airport	Medium airport	Chambéry/Aix-les-Bains	France
LGSA	CHQ	Chania International Airport	Medium airport	Souda	Greece
LFQV	XCZ	Charleville-Mézières Airport	Medium airport	Charleville-Mézières	France
LFOC		Châteaudun (BA 279) Air Base	Medium airport	Châteaudun	France
LFLX	CHR	Châteauroux-Déols "Marcel Dassault" Airport	Medium airport	Châteauroux/Déols	France
UWKS	CSY	Cheboksary Airport	Medium airport	Cheboksary	Russia
USCC	CEK	Chelyabinsk Balandino Airport	Medium airport	Chelyabinsk	Russia
LFRC	CER	Cherbourg-Maupertus Airport	Medium airport	Cherbourg/Maupertus	France
ULWC	CEE	Cherepovets Airport	Medium airport	Cherepovets	Russia
UKKE	CKC	Cherkasy International Airport	Medium airport	Cherkasy	Ukraine
UKLN	CWC	Chernivtsi International Airport	Medium airport	Chernivtsi	Ukraine
EBCV		Chièvres Air Base	Medium airport	Chièvres	Belgium
LGHI	JKH	Chios Island National Airport	Medium airport	Chios Island	Greece
LUKK	KIV	Chişinău International Airport	Medium airport	Chişinău	Moldova
UIAA	HTA	Chita-Kadala Airport	Medium airport	Chita	Russia
UUMU	CKL	Chkalovskiy Air Base	Medium airport	Moscow	Russia
LFOU	CET	Cholet Le Pontreau Airport	Medium airport	Cholet/Le Pontreau	France
EGAE	LDY	City of Derry Airport	Medium airport	Derry	United Kingdom
LFLC	CFE	Clermont-Ferrand Auvergne Airport	Medium airport	Clermont-Ferrand/Auvergne	France
LRCL	CLJ	Cluj-Napoca International Airport	Medium airport	Cluj-Napoca	Romania
LFBG	CNG	Cognac-Châteaubernard (BA 709) Air Base	Medium airport	Cognac/Châteaubernard	France
LFGA	CMR	Colmar-Houssen Airport	Medium airport	Colmar/Houssen	France
LICB	CIY	Comiso Airport	Medium airport	Comiso	Italy
EKRK	RKE	Copenhagen Roskilde Airport	Medium airport	Copenhagen	Denmark
LEBA	ODB	Córdoba Airport	Medium airport	Córdoba	Spain
