id,name,lat,lon
EKYT,Aalborg Airport,57.093,9.849
EGPD,Aberdeen Dyce Airport,57.20399999999999,-2.2
LEMD,Adolfo Suárez Madrid–Barajas Airport,40.472,-3.5610000000000004
LEAL,Alicante International Airport,38.282,-0.5579999999999999
EHAM,Amsterdam Airport Schiphol,52.309,4.763999999999999
LEBL,Barcelona–El Prat Airport,41.297,2.0780000000000003
LIBD,Bari Karol Wojtyła Airport,41.138000000000005,16.761
EGAA,Belfast International Airport,54.657,-6.216
LYBE,Belgrade Nikola Tesla Airport,44.818000000000005,20.309
ENBR,Bergen Airport Flesland,60.293,5.218
EDDB,Berlin-Schönefeld Airport,52.38,13.523
EDDT,Berlin-Tegel Airport,52.559,13.287
EKBI,Billund Airport,55.74,9.152000000000001
EGBB,Birmingham International Airport,52.45399999999999,-1.7480000000000002
ENBO,Bodø Airport,67.26899999999999,14.363
LIPE,Bologna Guglielmo Marconi Airport,44.534,11.29
LFBD,Bordeaux-Mérignac Airport,44.828,-0.716
UKBB,Boryspil International Airport,50.345,30.895
EGHH,Bournemouth Airport,50.78,-1.8430000000000002
EDDW,Bremen Airport,53.047,8.787
EGGD,Bristol Airport,51.383,-2.719
EBBR,Brussels Airport,50.902,4.499
EBCI,Brussels South Charleroi Airport,50.458999999999996,4.454
LHBP,Budapest Liszt Ferenc International Airport,47.437,19.256
LBBG,Burgas Airport,42.568999999999996,27.514
LIEE,Cagliari Elmas Airport,39.251,9.054
EGFF,Cardiff International Airport,51.397,-3.343
LICC,Catania-Fontanarossa Airport,37.467,15.065999999999999
LFPG,Paris-Charles de Gaulle Airport,49.013000000000005,2.55
LIRA,Rome–Ciampino International Airport "G. B. Pastine",41.799,12.595
EDDK,Cologne Bonn Airport,50.86600000000001,7.143
EKCH,Copenhagen Kastrup Airport,55.618,12.655999999999999
EPWR,Copernicus Airport Wrocław,51.102,16.886
EICK,Cork Airport,51.843,-8.492
EDLW,Dortmund Airport,51.518,7.612
EDDC,Dresden Airport,51.133,13.767000000000001
EIDW,Dublin Airport,53.42100000000001,-6.27
EDDL,Düsseldorf Airport,51.288999999999994,6.767
EGNX,East Midlands Airport,52.831,-1.328
EGPH,Edinburgh Airport,55.95,-3.373
EHEH,Eindhoven Airport,51.45,5.374
LFSB,EuroAirport Basel-Mulhouse-Freiburg Airport,47.589,7.53
EGTE,Exeter International Airport,50.733999999999995,-3.4139999999999997
LICJ,Falcone–Borsellino Airport,38.176,13.091
LPFR,Faro Airport,37.014,-7.966
LPPR,Francisco de Sá Carneiro Airport,41.248000000000005,-8.681000000000001
EDDF,Frankfurt am Main Airport,50.026,8.543
EPGD,Gdańsk Lech Wałęsa Airport,54.376999999999995,18.465999999999998
LSGG,Geneva Airport,46.238,6.109
LIMJ,Genoa Cristoforo Colombo Airport,44.412,8.842
EGAC,George Best Belfast City Airport,54.618,-5.872999999999999
EGPF,Glasgow International Airport,55.872,-4.433
ESGG,Gothenburg-Landvetter Airport,57.663000000000004,12.28
GCLP,Gran Canaria Airport,27.932,-15.386
