origin,dest,count
EKRK,EKYT,9
EKRK,EKRN,1
EKRK,ESSB,1
EKCH,EKYT,16
EKCH,LHBP,1
EKCH,LFPG,10
EKCH,EKEB,1
EKCH,ENGM,25
EKCH,ESGG,9
EKCH,ENZV,9
EKCH,ESSA,20
EKCH,LSZH,2
EKCH,ESSB,1
EKCH,EKRN,4
EKCH,EPWA,2
EKCH,EKMB,1
EKCH,LEAL,1
EKCH,EKSB,1
EKCH,LEMG,1
EKCH,EKRK,1
EKTS,EKYT,3
EGPD,ENBR,1
EGPD,EHAM,2
EGPD,EIDW,1
EGPD,EGPF,2
EGPD,EGPK,1
EGPD,EGPE,1
EGLL,EGPD,2
EGLL,LEMD,12
EGLL,EHAM,14
EGLL,LEBL,7
EGLL,UKBB,2
EGLL,LFPG,20
EGLL,EICK,10
EGLL,EIDW,35
EGLL,EGPH,5
EGLL,LSGG,7
EGLL,EGPF,3
EGLL,LPPT,4
EGLL,LIRF,37
EGLL,LPPR,3
EGLL,LIMC,7
EGLL,LFMN,1
EGLL,LSZH,14
EGLL,LMML,9
EGLL,UUEE,5
EGLL,ESSA,3
EGLL,UUWW,2
EGLL,EHRD,6
EGLL,LEMG,1
EGLL,EGSS,1
EGLL,LFMD,1
EGLL,LXGB,1
EGLL,LETO,1
LEMD,LFPG,17
LEMD,LEVX,1
LEMD,LFML,1
LEMD,LEMH,1
LEMD,LEPA,22
LEMD,LPPT,2
LEMD,LIMC,12
LEMD,LEVC,4
LEMD,UUEE,9
LEMD,LSZH,2
LEMD,LOWW,1
LEMD,LEMG,2
LEMD,LFRS,1
LEMD,LMML,1
LEMD,LPPR,4
LEMD,LIRF,2
LEMD,LFLL,1
LEMD,LFPB,1
LEMD,LEZL,1
EDDP,LEMD,22
EDDP,EHAM,16
EDDP,LEBL,12
EDDP,EGAA,2
EDDP,EKBI,9
EDDP,LIPE,10
EDDP,LFBD,2
EDDP,UKBB,9
EDDP,LHBP,20
EDDP,LFPG,31
EDDP,LIRA,12
EDDP,EKCH,24
EDDP,EGNX,75
EDDP,EPGD,9
EDDP,LSGG,10
EDDP,EDDV,1
EDDP,EFHK,11
EDDP,LROP,4
EDDP,LIME,16
EDDP,EPKT,13
EDDP,EGLL,9
EDDP,EGSS,9
EDDP,LIPZ,16
EDDP,LIMC,25
EDDP,UUEE,22
EDDP,LFML,6
EDDP,LFRS,7
EDDP,LFBO,3
EDDP,ESSA,9
EDDP,LOWL,9
EDDP,EPWA,11
EDDP,LZIB,18
EDDP,EDDS,2
EDDP,LJLJ,8
EDDP,ENGM,10
EDDP,EDVE,5
EDDP,EGGW,14
EDDP,UUWW,7
EDDP,EDGS,1
EDDP,EINN,2
EDDP,LDZA,2
EDDP,EDLW,1
EDDP,EETN,1
EDDP,LSZH,1
EDDP,LFJL,1
EDDP,LFPB,1
ESSA,LEMD,2
ESSA,UKBB,2
ESSA,LFPG,12
ESSA,LZIB,2
ESSA,UMMS,6
ESSA,UUEE,3
ESSA,UUWW,9
ESSA,ESSP,1
ESSA,ESSU,4
ESSA,LPBJ,1
ESSA,LEBL,1
ESSA,ESSB,5
ESSA,LHBP,1
ESSA,LEMG,2
ESSA,LSZH,5
ESSA,ESSD,2
EDDF,LEMD,12
EDDF,EHAM,39
EDDF,LEBL,14
EDDF,EDDT,40
EDDF,UKBB,2
EDDF,LFPG,31
EDDF,EKCH,26
EDDF,EIDW,2
EDDF,EGNX,1
EDDF,EDFH,2
EDDF,LFPB,2
EDDF,EGSS,7
EDDF,LPPT,14
EDDF,LIRF,27
EDDF,LIMC,33
EDDF,EFHK,22
EDDF,LOWW,37
EDDF,EDDH,41
EDDF,EDDL,3
EDDF,EETN,6
EDDF,EDDM,46
EDDF,LSZH,27
EDDF,EGLL,43
EDDF,ESSA,26
EDDF,ENGM,14
EDDF,LIPZ,1
EDDF,LDZA,19
EDDF,EHBK,2
EDDF,LEPA,2
EDDF,UUWW,6
EDDF,LMML,9
EDDF,LSGG,14
EDDF,EDDN,1
EDDF,EDDP,24
