origin,dest,count
BIKF,EGLL,27
BIKF,ESSA,4
BIKF,LFPO,1
EBBR,EBBR,3
EBBR,EDDF,53
EBBR,EDDM,6
EBBR,EDDP,10
EBBR,EFHK,26
EBBR,EGLL,1
EBBR,EHAM,2
EBBR,LDZA,4
EBBR,LEZG,1
EBBR,LIRF,22
EBBR,LSZH,3
EBBR,EDDK,4
EBBR,EGNX,1
EBBR,EGSS,4
EBBR,ENGM,3
EBBR,EPWA,1
EBBR,LEBL,1
EBBR,LEVC,1
EBCI,EIDW,3
EBLG,EBLG,1
EBLG,EFHK,17
EBLG,EFTU,6
EBLG,EGLL,1
EBLG,EGNX,3
EBLG,EGSS,23
EBLG,ENGM,6
EBLG,LEZG,1
EBLG,LFPG,17
EBLG,EDDK,8
EBLG,EHAM,5
EBLG,EHBK,1
EBLG,LEBL,2
EBLG,LEMD,2
EBLG,LICJ,1
EBOS,UKBB,1
EDDB,EDDB,1
EDDB,EDDG,1
EDDB,EDDL,1
EDDB,UMMS,23
EDDB,UUEE,2
EDDB,EGSS,1
EDDB,EIDW,8
EDDB,LROP,1
EDDF,EDDF,17
EDDF,EDDH,40
EDDF,EDDL,2
EDDF,EDDM,38
EDDF,EDDP,44
EDDF,EDDT,39
EDDF,EETN,26
EDDF,EFHK,56
EDDF,EGGW,5
EDDF,EGLL,85
EDDF,EGNX,3
EDDF,EHAM,86
EDDF,EIDW,22
EDDF,EKCH,30
EDDF,ELLX,2
EDDF,ENGM,23
EDDF,EPWA,1
EDDF,ESSA,89
EDDF,LDZA,94
EDDF,LEJR,4
EDDF,LEMD,3
EDDF,LEPA,17
EDDF,LEZG,1
EDDF,LFPG,80
EDDF,LFRS,2
EDDF,LIMC,4
EDDF,LIRF,72
EDDF,LMML,43
EDDF,LOWW,90
EDDF,LYBE,1
EDDF,UKBB,6
EDDF,UMMS,26
EDDF,UUEE,85
EDDF,EDFH,1
EDDF,EGSS,30
EDDF,EHBK,2
EDDF,ENZV,4
EDDF,LEBL,14
EDDF,LHBP,9
EDDF,LSGG,19
EDDF,LSZH,58
EDDH,EDDK,20
EDDH,EDDL,38
EDDH,EDDM,49
EDDH,EDDS,16
EDDH,LEPA,6
EDDH,LSZH,18
EDDK,EDDL,1
EDDK,EDDM,30
EDDK,EDDP,12
EDDK,EDDT,10
EDDK,EGNX,44
EDDK,EGSS,37
EDDK,ETNL,1
EDDK,LDZA,10
EDDK,LFPG,56
EDDK,EDFH,1
EDDK,EGGW,1
EDDK,EGSH,1
EDDK,EINN,1
EDDK,ENGM,2
EDDL,EDDL,1
EDDL,EDDT,26
EDDL,EGLL,48
EDDL,EGPH,2
EDDL,EGSH,3
EDDL,EHAM,8
EDDL,LEBL,17
EDDL,LEMG,4
EDDL,LEPA,16
EDDL,LIMC,10
EDDL,LIRF,16
EDDL,LOWS,4
EDDL,LOWW,48
EDDL,LPFR,4
EDDL,LPPT,18
EDDL,LROP,1
EDDL,LRSB,6
EDDL,LSZH,30
EDDL,LZIB,5
EDDM,EDDN,1
EDDM,EFHK,12
EDDM,LIRF,25
EDDM,UMMS,18
EDDM,EGLL,6
EDDM,EHAM,6
EDDM,LFPG,13
EDDN,EDDV,1
