origin,dest,count
BIKF,EGLL,3828640
BIKF,ESSA,696800
BIKF,LFPO,174200
EBBR,EDDF,2665847
EBBR,EDDM,229968
EBBR,EDDP,3188746
EBBR,EFHK,3575778
EBBR,EGLL,241999
EBBR,EHAM,473392
EBBR,LDZA,117024
EBBR,LEZG,299370
EBBR,LIRF,1950988
EBBR,LSZH,432000
EBBR,EDDK,1197480
EBBR,EGNX,68038
EBBR,EGSS,2597370
EBBR,ENGM,270814
EBBR,EPWA,299370
EBBR,LEBL,766000
EBBR,LEVC,299370
EBCI,EIDW,237045
EBLG,EFHK,2961400
EBLG,EFTU,1045200
EBLG,EGLL,299370
EBLG,EGNX,347676
EBLG,EGSS,2848994
EBLG,ENGM,2672109
EBLG,LEZG,299370
EBLG,LFPG,6022550
EBLG,EDDK,2186312
EBLG,EHAM,1496850
EBLG,EHBK,766000
EBLG,LEBL,1065370
EBLG,LEMD,1065370
EBLG,LICJ,299370
EBOS,UKBB,299370
EDDB,EDDG,9162
EDDB,EDDL,76499
EDDB,UMMS,1222982
EDDB,UUEE,186998
EDDB,EGSS,174200
EDDB,EIDW,632120
EDDB,LROP,76499
EDDF,EDDH,4516773
EDDF,EDDL,186998
EDDF,EDDM,8157568
EDDF,EDDP,10902258
EDDF,EDDT,4381799
EDDF,EETN,3568638
EDDF,EFHK,3757422
EDDF,EGGW,852495
EDDF,EGLL,11334447
EDDF,EGNX,898110
EDDF,EHAM,7274242
EDDF,EIDW,2485320
EDDF,EKCH,1760277
EDDF,ELLX,598740
EDDF,ENGM,2021364
EDDF,EPWA,78000
EDDF,ESSA,8968147
EDDF,LDZA,7346570
EDDF,LEJR,530920
EDDF,LEMD,647770
EDDF,LEPA,1544920
EDDF,LEZG,396893
EDDF,LFPG,11104181
EDDF,LFRS,483998
EDDF,LIMC,1345805
EDDF,LIRF,5660880
EDDF,LMML,6335115
EDDF,LOWW,17950753
EDDF,LYBE,76499
EDDF,UKBB,815430
EDDF,UMMS,2117164
EDDF,UUEE,31684172
EDDF,EDFH,158757
EDDF,EGSS,9446746
EDDF,EHBK,1532000
EDDF,ENZV,1197480
EDDF,LEBL,1892358
EDDF,LHBP,2694330
EDDF,LSGG,998881
EDDF,LSZH,5633259
EDDH,EDDK,1529980
EDDH,EDDL,2906962
EDDH,EDDM,2107098
EDDH,EDDS,1223984
EDDH,LEPA,458994
EDDH,LSZH,2472000
EDDK,EDDL,76499
EDDK,EDDM,2963583
EDDK,EDDP,3592440
EDDK,EDDT,764990
EDDK,EGNX,6985308
EDDK,EGSS,11129551
EDDK,ETNL,93499
EDDK,LDZA,764990
EDDK,LFPG,14160206
