origin,dest,count
BIKF,EBBR,1
BIKF,EDDF,77
BIKF,EDDM,53
BIKF,EFHK,90
BIKF,EGCC,9
BIKF,EGGW,32
BIKF,EGKK,8
BIKF,EGLL,163
BIKF,EGPF,15
BIKF,EGPH,4
BIKF,EHAM,71
BIKF,EIDW,56
BIKF,EKCH,169
BIKF,ENGM,114
BIKF,EPKK,16
BIKF,EPWA,27
BIKF,ESSA,35
BIKF,LEAL,2
BIKF,LFPG,80
BIKF,UUEE,1
BIKF,EGAA,7
BIKF,ENZV,2
EBBR,EDDF,328
EBBR,EDDH,89
EBBR,EDDM,303
EBBR,EDDP,20
EBBR,EDDT,201
EBBR,EDDV,10
EBBR,EETN,30
EBBR,EFHK,81
EBBR,EGBB,60
EBBR,EGCC,64
EBBR,EGGD,26
EBBR,EGLL,406
EBBR,EGPH,70
EBBR,EHAM,82
EBBR,EHBK,1
EBBR,EIDW,40
EBBR,EKBI,31
EBBR,EKCH,241
EBBR,ENGM,147
EBBR,EPKK,28
EBBR,EPWA,103
EBBR,ESGG,113
EBBR,ESSA,67
EBBR,ESSB,92
EBBR,LDZA,68
EBBR,LEAL,9
EBBR,LEBL,76
EBBR,LEMD,210
EBBR,LEMG,55
EBBR,LETO,1
EBBR,LEVC,11
EBBR,LEZG,1
EBBR,LFBO,112
EBBR,LFLL,115
EBBR,LFLS,2
EBBR,LFML,63
EBBR,LFMN,4
EBBR,LFPG,94
EBBR,LFST,10
EBBR,LHBP,120
EBBR,LIMC,86
EBBR,LIMF,2
EBBR,LIML,167
EBBR,LIPE,37
EBBR,LIPZ,105
EBBR,LIRF,166
EBBR,LJLJ,32
EBBR,LKPR,130
EBBR,LKVO,27
EBBR,LMML,42
EBBR,LOWW,226
EBBR,LPAR,4
EBBR,LPFR,12
EBBR,LPPR,19
EBBR,LPPT,102
EBBR,LRBS,2
EBBR,LROP,3
EBBR,LSGG,177
EBBR,LSZH,208
EBBR,UKBB,16
EBBR,UUEE,169
EBBR,EBOS,1
EBBR,EDDB,5
EBBR,EGSS,1
EBBR,GCLP,1
EBBR,LYBE,7
EBCI,EGCC,57
EBCI,EPWA,1
EBCI,LRBS,3
EBCI,LROP,1
EBCI,UMMS,34
EBCI,EHBK,1
EBCI,ELLX,2
EBCI,EPKK,1
EBCI,ESKN,12
EBCI,LEMG,23
EBCI,LEZL,1
EBCI,LFMK,21
EBCI,LFST,1
EBCI,LKPR,1
EBLG,EDFH,1
