origin,dest,count
BIKF,EBBR,158757
BIKF,EDDF,11066819
BIKF,EDDM,6228006
BIKF,EFHK,10207711
BIKF,EGCC,1008660
BIKF,EGGW,6596224
BIKF,EGKK,927136
BIKF,EGLL,22198110
BIKF,EGPF,1738380
BIKF,EGPH,696660
BIKF,EHAM,9599521
BIKF,EIDW,6489952
BIKF,EKCH,18875238
BIKF,ENGM,12187012
BIKF,EPKK,2171782
BIKF,EPWA,3876069
BIKF,ESSA,4056220
BIKF,LEAL,158030
BIKF,LFPG,10875415
BIKF,UUEE,241999
BIKF,EGAA,644163
BIKF,ENZV,299631
EBBR,EDDF,33994696
EBBR,EDDH,6914380
EBBR,EDDM,25199516
EBBR,EDDP,5987400
EBBR,EDDT,18189298
EBBR,EDDV,845000
EBBR,EETN,2477904
EBBR,EFHK,8290700
EBBR,EGBB,5070000
EBBR,EGCC,6471360
EBBR,EGGD,2197000
EBBR,EGLL,40962103
EBBR,EGPH,5748786
EBBR,EHAM,3506078
EBBR,EHBK,149000
EBBR,EIDW,8896109
EBBR,EKBI,2619500
EBBR,EKCH,22626125
EBBR,ENGM,12264853
EBBR,EPKK,2141972
EBBR,EPWA,9675007
EBBR,ESGG,8674394
EBBR,ESSA,6748767
EBBR,ESSB,7037908
EBBR,LDZA,4006636
EBBR,LEAL,888421
EBBR,LEBL,8019172
EBBR,LEMD,18340249
EBBR,LEMG,4829750
EBBR,LETO,78000
EBBR,LEVC,844491
EBBR,LEZG,50790
EBBR,LFBO,8567888
EBBR,LFLL,8907857
EBBR,LFLS,156000
EBBR,LFML,4822439
EBBR,LFMN,308998
EBBR,LFPG,9862943
EBBR,LFST,759492
EBBR,LHBP,10067111
EBBR,LIMC,6781400
EBBR,LIMF,169000
EBBR,LIML,11022935
EBBR,LIPE,2871473
EBBR,LIPZ,8823109
EBBR,LIRF,14063499
EBBR,LJLJ,2447968
EBBR,LKPR,10327387
EBBR,LKVO,2162436
EBBR,LMML,4910805
EBBR,LOWW,19912798
EBBR,LPAR,310499
EBBR,LPFR,1116417
EBBR,LPPR,1662417
EBBR,LPPT,10079381
EBBR,LRBS,244279
EBBR,LROP,323294
EBBR,LSGG,15946988
EBBR,LSZH,23165480
EBBR,UKBB,1549795
EBBR,UUEE,19541881
EBBR,EBOS,171961
EBBR,EDDB,490260
EBBR,EGSS,766000
EBBR,GCLP,78000
EBBR,LYBE,706578
EBCI,EGCC,4789410
EBCI,EPWA,79015
EBCI,LRBS,237045
EBCI,LROP,174200
EBCI,UMMS,1134096
EBCI,EHBK,79015
EBCI,ELLX,158030
EBCI,EPKK,174200
EBCI,ESKN,1138550
EBCI,LEMG,2102900
EBCI,LEZL,79015
EBCI,LFMK,1659315
EBCI,LFST,79015
EBCI,LKPR,174200
EBLG,EDFH,396893
EBLG,EFTU,522600
EBLG,EGNX,347676
EBLG,EGSS,2501318
EBLG,ELLX,453870
EBLG,ENGM,4992330
EBLG,LEZG,299370
EBLG,LFKB,78000
EBLG,LFPG,1619375
EBLG,LIMC,299370
EBLG,LSZH,241999
EBLG,EDDF,179168
EBLG,EDDK,4099335
EBLG,EGLC,29256
EBLG,EHAM,898110
EBLG,LOWW,93499
EBLG,LPPR,154500
EBLG,LPPT,70079
EBOS,EGCC,249961
EDDB,EDDF,165498
EDDB,EDDM,76499
EDDB,EETN,1312750
EDDB,EFLP,1644980
EDDB,EGKK,2337333
EDDB,EHAM,4211479
EDDB,EKBI,2657840
EDDB,EKCH,7094096
EDDB,ELLX,4672896
EDDB,ENGM,10635479
EDDB,ESSA,4874375
EDDB,LEPA,3140368
EDDB,LFPG,7092697
EDDB,LIRF,174200
EDDB,LROP,79015
EDDB,UKKK,5642791
EDDB,UMMS,2251098
EDDB,UUEE,30385812
EDDB,EDDK,79015
EDDB,EDDS,79015
EDDB,EGGW,229497
EDDB,EGNX,632120
EDDB,EIDW,948180
EDDB,ENBR,79015
EDDB,LEMD,79015
EDDB,LFPO,171961
EDDB,LIBD,1138550
EDDB,LKTB,901505
EDDC,EDDF,23383570
EDDC,EDDK,8641958
EDDC,EDDL,11546898
EDDC,EDDM,6998108
EDDC,EDDS,6164950
EDDC,EDVE,10704
EDDC,EHAM,1861872
EDDC,LEPA,1011918
EDDC,LSZH,10735170
EDDC,UUEE,5664400
EDDF,EDDG,2464963
EDDF,EDDH,67989753
EDDF,EDDK,939485
EDDF,EDDL,18616010
EDDF,EDDM,78057449
EDDF,EDDN,20673514
EDDF,EDDP,25611519
EDDF,EDDS,25573674
EDDF,EDDT,130457398
EDDF,EDDV,19252693
EDDF,EDDW,25182427
EDDF,EDFH,127821
EDDF,EDLP,804888
EDDF,EDNY,7914576
EDDF,EDVE,5352
EDDF,EETN,14298017
EDDF,EFHK,22248611
EDDF,EGBB,23736667
EDDF,EGCC,28108260
EDDF,EGGW,4091976
EDDF,EGLC,17073096
EDDF,EGLL,95133921
EDDF,EGNX,1197480
EDDF,EGPF,1377086
EDDF,EGPH,10324688
EDDF,EGPK,156000
EDDF,EGSS,26660925
EDDF,EHAM,38934725
EDDF,EICK,174200
EDDF,EIDW,38684131
EDDF,EINN,490392
EDDF,EKBI,16392552
EDDF,EKCH,49236863
EDDF,ELLX,9440546
EDDF,ENGM,31796693
EDDF,EPGD,5633488
EDDF,EPKK,19222561
EDDF,EPKT,5796837
EDDF,EPPO,5801810
EDDF,EPWA,32086882
EDDF,EPWR,3815999
EDDF,ESGG,29139554
EDDF,ESSA,32250458
EDDF,GCLP,741484
EDDF,GCRR,359514
EDDF,LDSP,907506
EDDF,LDZA,15583237
EDDF,LEAL,2194845
EDDF,LEBL,31633734
EDDF,LEJR,915322
EDDF,LEMD,39406066
EDDF,LEMG,9914695
EDDF,LEPA,16591084
EDDF,LEPP,2141972
EDDF,LEVC,12641177
EDDF,LEZG,1421085
EDDF,LEZL,1654488
EDDF,LFBD,3086287
EDDF,LFBO,17650831
EDDF,LFLL,19202361
EDDF,LFMD,252165
EDDF,LFML,7917987
EDDF,LFMN,560460
EDDF,LFPB,30775
EDDF,LFPG,46132797
EDDF,LGIR,546000
EDDF,LHBP,44383219
EDDF,LIBD,1022829
EDDF,LIBR,680630
EDDF,LICZ,835615
EDDF,LIMC,27393840
EDDF,LIME,9150064
EDDF,LIMF,3161285
EDDF,LIMJ,995586
EDDF,LIML,37764940
EDDF,LIPE,15265801
EDDF,LIPR,504997
EDDF,LIPX,7478121
EDDF,LIPZ,28253318
EDDF,LIRF,25756125
EDDF,LIRQ,1728677
EDDF,LJLJ,3602832
EDDF,LJMB,348400
EDDF,LKPR,20928940
EDDF,LKVO,960997
EDDF,LMML,10580131
EDDF,LOWG,13149212
EDDF,LOWL,8708536
EDDF,LOWS,17437240
EDDF,LOWW,67650423
EDDF,LPAR,517163
EDDF,LPFR,4418377
EDDF,LPPR,16479856
EDDF,LPPT,28651317
EDDF,LRBS,812660
EDDF,LRCL,150897
EDDF,LROP,6104686
EDDF,LSGG,37703243
EDDF,LSZH,46974526
EDDF,LTBU,396893
EDDF,LYBE,6636399
EDDF,UKBB,15533256
EDDF,UKKK,5048908
EDDF,ULLI,6419570
EDDF,UMMS,5634093
EDDF,UUEE,45736868
EDDF,UWKD,493407
EDDF,EHBK,2993700
EDDF,ENZV,1197480
EDDF,GCLA,93499
EDDF,LBWN,50299
EDDF,LICJ,252165
EDDG,EDDM,15157712
EDDG,LEPA,5059590
EDDH,EDDK,25186608
EDDH,EDDL,31071312
EDDH,EDDM,87990348
EDDH,EDDN,10884677
EDDH,EDDR,2398992
EDDH,EDDS,34458741
EDDH,EDDT,229497
EDDH,EDVE,26760
EDDH,EFHK,3119968
EDDH,EGKK,78000
EDDH,EGLL,34709459
EDDH,EGSS,553105
EDDH,EHAM,20246019
EDDH,EIDW,312000
EDDH,EKCH,10446624
EDDH,ELLX,117024
EDDH,ENGM,10493573
EDDH,EPGD,936000
EDDH,EPWA,965248
EDDH,ESGG,0
EDDH,ESSA,11787702
EDDH,GCFV,156000
EDDH,GCLA,156000
EDDH,LEBL,1804150
EDDH,LEMD,4578645
EDDH,LEPA,8430339
EDDH,LFMD,76499
EDDH,LFPG,23407257
EDDH,LFRS,122469
EDDH,LHBP,3194998
EDDH,LICZ,546000
EDDH,LIMC,4952974
EDDH,LIRF,2645996
EDDH,LKPR,0
EDDH,LOWI,632120
EDDH,LOWS,5419874
EDDH,LOWW,30516811
EDDH,LPAR,93499
EDDH,LPFR,866120
EDDH,LPPT,2970984
EDDH,LSZH,40901825
EDDH,UKKK,2579415
EDDH,UUEE,10529450
EDDH,EDFH,122469
EDDH,EGCC,2272774
EDDH,GCLP,270000
EDDH,LFMN,76499
EDDH,LROP,70079
EDDK,EDDL,310013
EDDK,EDDM,54024932
EDDK,EDDP,4894984
EDDK,EDDS,859015
EDDK,EDDT,38878497
EDDK,EDDV,79015
EDDK,EGKK,1706994
EDDK,EGLL,12158145
EDDK,EGNX,6509037
EDDK,EGPH,470030
EDDK,EGSS,6728352
EDDK,EHAM,70079
EDDK,GCLP,79015
EDDK,LDSP,314030
EDDK,LDZA,2388834
EDDK,LEBL,2608081
EDDK,LEJR,312000
EDDK,LEPA,9012143
EDDK,LEVT,255500
EDDK,LFPG,8384576
EDDK,LHBP,2400817
EDDK,LIBD,1088998
EDDK,LICZ,327961
EDDK,LIMC,6917252
EDDK,LIML,2109344
EDDK,LIPE,2695684
EDDK,LIPZ,2128671
EDDK,LIRF,1781238
EDDK,LKPR,2643602
EDDK,LOWK,3625473
EDDK,LOWS,3997668
EDDK,LOWW,20324796
EDDK,LPFR,1270916
EDDK,LPPT,2145070
EDDK,LSZH,16515146
EDDK,UKKK,2579415
EDDK,UUWW,6648270
EDDK,EDLW,78000
EDDK,EGCC,154499
EDDK,ESSA,78000
EDDK,GCRR,79015
EDDK,LEAL,253215
EDDK,LFBO,50299
EDDK,LICC,78000
EDDL,EDDM,86579087
EDDL,EDDN,2309130
EDDL,EDDS,651972
EDDL,EDDT,51001357
EDDL,EDDV,520976
EDDL,EDXW,152998
EDDL,EFHK,9433767
EDDL,EGBB,10705158
EDDL,EGCC,9919455
EDDL,EGLC,6445835
EDDL,EGLL,39129947
EDDL,EGNT,2621980
EDDL,EGPH,464998
EDDL,EHAM,5493434
EDDL,EIDW,2429056
EDDL,EKCH,14615444
EDDL,ELLX,158232
EDDL,ENGM,4684208
EDDL,EPGD,1856990
EDDL,EPKK,3497992
EDDL,EPWR,1789497
EDDL,ESSA,12728998
EDDL,GCLA,412264
EDDL,GCLP,817763
EDDL,GCRR,607070
EDDL,LDSP,230998
EDDL,LDZA,1079992
EDDL,LEAL,825629
EDDL,LEBL,7451526
EDDL,LEIB,624000
EDDL,LEJR,1112763
EDDL,LEMD,5355947
EDDL,LEMG,2170491
EDDL,LEPA,14850582
EDDL,LEVC,1716000
EDDL,LFLL,156000
EDDL,LFML,934499
EDDL,LFMN,234000
EDDL,LFPG,19074956
EDDL,LGIR,234000
EDDL,LHBP,6460491
EDDL,LICZ,674132
EDDL,LIMC,14080423
EDDL,LIME,79015
EDDL,LIML,2606031
EDDL,LIPE,382495
EDDL,LIPZ,1319996
EDDL,LIRF,7169996
EDDL,LKPR,10075457
EDDL,LKVO,307497
EDDL,LOWL,174165
EDDL,LOWS,5525940
EDDL,LOWW,44043439
EDDL,LPAR,174165
EDDL,LPFR,1266200
EDDL,LPPR,461996
EDDL,LPPT,8228179
EDDL,LROP,934499
EDDL,LSZH,42929050
EDDL,UKBB,4011921
EDDL,UUEE,22460151
EDDL,EDDP,174200
EDDL,EDFH,79015
EDDL,EGMC,37199
EDDL,EPWA,5943595
EDDL,LEZL,78000
EDDL,LFRS,264017
EDDM,EDDN,5460376
EDDM,EDDP,5651579
EDDM,EDDS,8595431
EDDM,EDDT,75013576
EDDM,EDDV,35985183
EDDM,EDDW,25017875
EDDM,EDLW,11561856
EDDM,EDNY,9525
EDDM,EETN,1875986
EDDM,EFHK,21792772
EDDM,EGBB,13025426
EDDM,EGCC,16304808
EDDM,EGLC,5934998
EDDM,EGLL,97292548
EDDM,EGPH,3115568
EDDM,EGSS,1083291
EDDM,EHAM,35104580
EDDM,EHEH,79015
EDDM,EIDW,11143962
EDDM,EKCH,26557706
EDDM,ELLX,9278753
EDDM,ENBR,0
EDDM,ENGM,20298046
EDDM,EPGD,4637688
EDDM,EPKK,14102886
EDDM,EPKT,1749370
EDDM,EPPO,4024440
EDDM,EPRZ,843216
EDDM,EPWA,11855200
EDDM,EPWR,2350470
EDDM,ESGG,14383522
EDDM,ESGP,174165
EDDM,ESSA,25781472
EDDM,ETNL,2094322
EDDM,GCFV,584225
EDDM,GCLP,405961
EDDM,GCRR,470030
EDDM,LCRA,93499
EDDM,LDSP,183755
EDDM,LDZA,9357735
EDDM,LEAL,395075
EDDM,LEBL,14323237
EDDM,LEMD,18242782
EDDM,LEMG,2500984
EDDM,LEPA,8147303
EDDM,LEVC,3144306
