origin,dest,count
BIKF,EDDF,74
BIKF,EDDM,55
BIKF,EFHK,85
BIKF,EGGW,39
BIKF,EGKK,8
BIKF,EGLL,148
BIKF,EGPF,14
BIKF,EGPH,4
BIKF,EHAM,69
BIKF,EIDW,38
BIKF,EKBI,5
BIKF,EKCH,179
BIKF,ENGM,104
BIKF,EPKK,13
BIKF,EPKT,3
BIKF,EPWA,24
BIKF,EPWR,3
BIKF,ESSA,32
BIKF,LEAL,4
BIKF,LFPG,62
BIKF,LFPO,3
BIKF,EGAA,9
BIKF,EGCC,5
BIKF,ENBR,2
BIKF,ENZV,4
EBBR,EDDB,4
EBBR,EDDF,314
EBBR,EDDH,93
EBBR,EDDL,1
EBBR,EDDM,313
EBBR,EDDP,15
EBBR,EDDT,138
EBBR,EDDV,10
EBBR,EETN,12
EBBR,EFHK,110
EBBR,EGBB,50
EBBR,EGCC,77
EBBR,EGGD,24
EBBR,EGLL,380
EBBR,EGPH,66
EBBR,EHAM,83
EBBR,EIDW,48
EBBR,EKBI,21
EBBR,EKCH,214
EBBR,ENGM,133
EBBR,EPKK,15
EBBR,EPKT,1
EBBR,EPWA,99
EBBR,ESGG,103
EBBR,ESSA,66
EBBR,ESSB,100
EBBR,GCRR,1
EBBR,LDZA,68
EBBR,LEAL,10
EBBR,LEBL,28
EBBR,LEMD,176
EBBR,LEMG,46
EBBR,LETO,18
EBBR,LFBD,3
EBBR,LFBO,93
EBBR,LFLL,113
EBBR,LFML,44
EBBR,LFPG,81
EBBR,LFST,4
EBBR,LHBP,81
EBBR,LIMC,43
EBBR,LIMF,2
EBBR,LIML,203
EBBR,LIPE,30
EBBR,LIPZ,79
EBBR,LIRF,147
EBBR,LJLJ,35
EBBR,LKPR,126
EBBR,LKVO,10
EBBR,LMML,42
EBBR,LOWW,225
EBBR,LPAR,28
EBBR,LPFR,6
EBBR,LPPR,26
EBBR,LPPT,55
EBBR,LRBS,3
EBBR,LROP,1
EBBR,LSGG,191
EBBR,LSZH,223
EBBR,UKBB,19
EBBR,ULLI,2
EBBR,UUEE,173
EBBR,EDDK,6
EBBR,EDDS,1
EBBR,EGSS,2
EBBR,ENBR,1
EBBR,LYBE,5
EBCI,EGCC,65
EBCI,LFKB,1
EBCI,LRBS,3
EBCI,LROP,3
EBCI,UMMS,35
EBCI,ESKN,12
EBCI,LEMG,13
EBCI,LFMK,22
EBCI,LIBD,1
EBLG,EFTU,1
EBLG,EGNX,4
EBLG,ENGM,11
EBLG,LFPG,9
EBLG,LSZH,3
EBLG,UUEE,6
EBLG,EDDK,17
EBLG,EGSS,19
EBLG,EHAM,6
EDDB,EDDF,7
EDDB,EDDM,3
EDDB,EDDT,2
EDDB,EETN,13
EDDB,EFLP,17
EDDB,EGKK,27
EDDB,EHAM,31
EDDB,EKBI,25
EDDB,EKCH,53
EDDB,ELLX,36
EDDB,ENGM,115
EDDB,ESSA,64
EDDB,LEBL,1
EDDB,LEPA,26
EDDB,LFPG,49
EDDB,LROP,4
EDDB,UKKK,49
EDDB,UKLL,3
EDDB,UMMS,49
EDDB,UUEE,300
EDDB,EGGW,4
EDDB,EGLL,1
EDDB,EGNX,10
EDDB,EGPH,8
EDDB,EIDW,14
EDDB,ENVA,1
EDDB,LIBD,7
