origin,dest,count
BIKF,EDDF,6886843
BIKF,EDDM,6400368
BIKF,EFHK,7417133
BIKF,EGGW,0
BIKF,EGKK,927136
BIKF,EGLL,14947675
BIKF,EGPF,1622488
BIKF,EGPH,76499
BIKF,EHAM,9243363
BIKF,EIDW,4403896
BIKF,EKBI,540067
BIKF,EKCH,16367398
BIKF,ENGM,9655903
BIKF,EPKK,654493
BIKF,EPKT,0
BIKF,EPWA,1121988
BIKF,EPWR,234000
BIKF,ESSA,3599229
BIKF,LEAL,316060
BIKF,LFPG,7435690
BIKF,LFPO,158030
BIKF,EGAA,390000
BIKF,EGCC,310499
BIKF,ENBR,192391
BIKF,ENZV,264998
EBBR,EDDB,316060
EBBR,EDDF,17918623
EBBR,EDDH,6821920
EBBR,EDDL,0
EBBR,EDDM,22027913
EBBR,EDDP,4373247
EBBR,EDDT,9256431
EBBR,EDDV,76499
EBBR,EETN,144241
EBBR,EFHK,7578505
EBBR,EGBB,230998
EBBR,EGCC,4564475
EBBR,EGGD,0
EBBR,EGLL,24401317
EBBR,EGPH,5048934
EBBR,EHAM,3268519
EBBR,EIDW,6296529
EBBR,EKBI,0
EBBR,EKCH,13240069
EBBR,ENGM,10587201
EBBR,EPKK,1147485
EBBR,EPKT,76499
EBBR,EPWA,5956809
EBBR,ESGG,7732403
EBBR,ESSA,4064121
EBBR,ESSB,7649900
EBBR,GCRR,0
EBBR,LDZA,3880629
EBBR,LEAL,622499
EBBR,LEBL,1659992
EBBR,LEMD,9340642
EBBR,LEMG,2560491
EBBR,LETO,1016460
EBBR,LFBD,229497
EBBR,LFBO,7117409
EBBR,LFLL,8591904
EBBR,LFML,3365956
EBBR,LFPG,5374495
EBBR,LFST,229497
EBBR,LHBP,5621952
EBBR,LIMC,3140962
EBBR,LIMF,0
EBBR,LIML,12372197
EBBR,LIPE,2294970
EBBR,LIPZ,6046423
EBBR,LIRF,9878465
EBBR,LJLJ,2677465
EBBR,LKPR,8514067
EBBR,LKVO,766491
EBBR,LMML,1794000
EBBR,LOWW,14122872
EBBR,LPAR,2020495
EBBR,LPFR,461996
EBBR,LPPR,1393493
EBBR,LPPT,3583986
EBBR,LRBS,237045
EBBR,LROP,79015
EBBR,LSGG,11609940
EBBR,LSZH,7816594
EBBR,UKBB,1343255
EBBR,ULLI,156000
EBBR,UUEE,9041858
EBBR,EDDK,1796220
EBBR,EDDS,76499
EBBR,EGSS,299370
EBBR,ENBR,76499
EBBR,LYBE,383996
EBCI,EGCC,5056960
EBCI,LFKB,78000
EBCI,LRBS,237045
EBCI,LROP,158030
EBCI,UMMS,1281808
EBCI,ESKN,948180
EBCI,LEMG,948180
EBCI,LFMK,1659315
EBCI,LIBD,79015
EBLG,EFTU,0
EBLG,EGNX,463568
EBLG,ENGM,2993700
EBLG,LFPG,1545608
EBLG,LSZH,725997
EBLG,UUEE,2584566
EBLG,EDDK,4645913
EBLG,EGSS,2201948
EBLG,EHAM,1893743
EDDB,EDDF,586496
EDDB,EDDM,243498
EDDB,EDDT,0
EDDB,EETN,1027195
EDDB,EFLP,1185225
EDDB,EGKK,385497
EDDB,EHAM,152998
EDDB,EKBI,1343255
EDDB,EKCH,1262210
EDDB,ELLX,458994
EDDB,ENGM,6739465
EDDB,ESSA,3916240
EDDB,LEBL,78000
EDDB,LEPA,1658300
EDDB,LFPG,689992
EDDB,LROP,316060
EDDB,UKKK,1794000
EDDB,UKLL,234000
EDDB,UMMS,1693366
EDDB,UUEE,17088605
EDDB,EGGW,305996
EDDB,EGLL,76499
EDDB,EGNX,790150
EDDB,EGPH,632120
EDDB,EIDW,1106210
EDDB,ENVA,79015
EDDB,LIBD,395075
EDDB,LKTB,474090
EDDB,ULLI,76499
EDDC,EDDF,19323451
EDDC,EDDK,7882008
EDDC,EDDL,12089896
EDDC,EDDM,6652842
EDDC,EDDS,6451433
EDDC,EHAM,1923681
EDDC,LKPR,93499
EDDC,LSZH,3106576
EDDC,UUEE,93499
EDDE,EDDR,5352
EDDE,EDVE,5352
EDDF,EDDG,1801416
EDDF,EDDH,45281254
EDDF,EDDK,500854
EDDF,EDDL,14602401
EDDF,EDDM,64988852
EDDF,EDDN,14946865
EDDF,EDDP,22024515
EDDF,EDDS,18038477
EDDF,EDDT,60362614
EDDF,EDDV,14489768
EDDF,EDDW,17699640
EDDF,EDLP,919872
EDDF,EDNY,6439000
EDDF,EDVE,5352
EDDF,EDXW,201196
EDDF,EETN,4977984
EDDF,EFHK,20276587
EDDF,EGBB,11283352
EDDF,EGCC,16891377
EDDF,EGGW,3239481
EDDF,EGLC,11787762
EDDF,EGLL,51266703
EDDF,EGMC,50299
EDDF,EGNX,1197480
EDDF,EGPF,1288493
EDDF,EGPH,2875990
EDDF,EGSS,17464025
EDDF,EHAM,22931993
EDDF,EIDW,27363011
EDDF,EINN,573792
EDDF,EKBI,13874250
EDDF,EKCH,22581296
EDDF,ELLX,8762726
EDDF,ENGM,16189772
EDDF,EPGD,6062237
EDDF,EPKK,10162652
EDDF,EPKT,4885177
EDDF,EPPO,4738286
EDDF,EPWA,17825654
EDDF,EPWR,2910513
EDDF,ESGG,14284455
EDDF,ESSA,19997731
EDDF,GCLP,280499
EDDF,GCRR,0
EDDF,LCRA,171499
EDDF,LDSP,841489
EDDF,LDZA,14407693
EDDF,LEAL,958164
EDDF,LEBL,10292142
EDDF,LEMD,36369732
EDDF,LEMG,4246289
EDDF,LEPA,7117212
EDDF,LEPP,1912475
EDDF,LETO,3627699
EDDF,LEVC,2147889
EDDF,LEZL,832996
EDDF,LFBD,2478750
EDDF,LFBO,8853173
EDDF,LFLL,9675647
EDDF,LFML,3784473
EDDF,LFPG,26026699
EDDF,LGIR,156000
EDDF,LHBP,17177939
EDDF,LIBD,459936
EDDF,LIBR,316060
EDDF,LICZ,315045
EDDF,LIMC,14335982
EDDF,LIME,3979718
EDDF,LIMF,4164780
EDDF,LIMJ,636876
EDDF,LIML,23976449
EDDF,LIPE,14512241
EDDF,LIPR,170499
EDDF,LIPX,6856650
EDDF,LIPZ,15263931
