origin,dest,count
BIKF,EDDF,63
BIKF,EDDM,30
BIKF,EDFH,1
BIKF,EFHK,60
BIKF,EGGW,28
BIKF,EGKK,4
BIKF,EGLL,156
BIKF,EGPF,2
BIKF,EGPH,3
BIKF,EHAM,65
BIKF,EIDW,33
BIKF,EINN,2
BIKF,EKCH,96
BIKF,ENGM,75
BIKF,ENOL,1
BIKF,EPKK,8
BIKF,EPWA,16
BIKF,ESSA,50
BIKF,LEAL,1
BIKF,LFPG,49
BIKF,EDHI,1
BIKF,EGAA,6
BIKF,EPWR,1
BIKF,UUWW,1
EBBR,EDDB,3
EBBR,EDDF,198
EBBR,EDDH,48
EBBR,EDDM,149
EBBR,EDDP,15
EBBR,EDDT,77
EBBR,EDDV,7
EBBR,EETN,5
EBBR,EFHK,61
EBBR,EGBB,40
EBBR,EGCC,38
EBBR,EGGD,26
EBBR,EGLL,253
EBBR,EGNX,2
EBBR,EGPH,48
EBBR,EHAM,42
EBBR,EHBK,1
EBBR,EIDW,26
EBBR,EKBI,26
EBBR,EKCH,118
EBBR,ENGM,74
EBBR,EPKK,14
EBBR,EPWA,49
EBBR,ESGG,62
EBBR,ESSA,66
EBBR,ESSB,56
EBBR,GCRR,2
EBBR,LDZA,65
EBBR,LEAL,3
EBBR,LEBL,61
EBBR,LEGE,1
EBBR,LEMD,98
EBBR,LEMG,40
EBBR,LETO,2
EBBR,LEVC,11
EBBR,LFBO,51
EBBR,LFLL,63
EBBR,LFML,43
EBBR,LFPG,46
EBBR,LHBP,46
EBBR,LIMC,14
EBBR,LIML,20
EBBR,LIPE,10
EBBR,LIPZ,19
EBBR,LIRF,79
EBBR,LJLJ,20
EBBR,LKPR,56
EBBR,LKVO,6
EBBR,LMML,26
EBBR,LOWW,128
EBBR,LPFR,7
EBBR,LPPR,11
EBBR,LPPT,59
EBBR,LROP,12
EBBR,LSGG,80
EBBR,LSZH,92
EBBR,LYBE,1
EBBR,UKBB,11
EBBR,UUEE,143
EBBR,EDDK,8
EBBR,EGGW,1
EBBR,EGLC,1
EBBR,EGSS,5
EBBR,GCLP,1
EBBR,LPAR,1
