origin,dest,count
BIKF,EDDF,6269691
BIKF,EDDM,3476760
BIKF,EDFH,115892
BIKF,EFHK,5181380
BIKF,EGGW,0
BIKF,EGKK,463568
BIKF,EGLL,13403548
BIKF,EGPF,231784
BIKF,EGPH,154499
BIKF,EHAM,7549287
BIKF,EIDW,3824436
BIKF,EINN,116210
BIKF,EKCH,9660704
BIKF,ENGM,6403723
BIKF,ENOL,115892
BIKF,EPKK,560994
BIKF,EPWA,1121988
BIKF,ESSA,5344186
BIKF,LEAL,79015
BIKF,LFPG,6648115
BIKF,EDHI,78000
BIKF,EGAA,390999
BIKF,EPWR,78000
BIKF,UUWW,158757
EBBR,EDDB,0
EBBR,EDDF,12247719
EBBR,EDDH,3674954
EBBR,EDDM,9931877
EBBR,EDDP,4459202
EBBR,EDDT,5306950
EBBR,EDDV,0
EBBR,EETN,191640
EBBR,EFHK,6182967
EBBR,EGBB,229497
EBBR,EGCC,2314483
EBBR,EGGD,0
EBBR,EGLL,14925860
EBBR,EGNX,0
EBBR,EGPH,3677956
EBBR,EHAM,1878126
EBBR,EHBK,0
EBBR,EIDW,4001407
EBBR,EKBI,0
EBBR,EKCH,7480425
EBBR,ENGM,6579463
EBBR,EPKK,1070986
EBBR,EPWA,3373504
EBBR,ESGG,4742938
EBBR,ESSA,3014150
EBBR,ESSB,4283944
EBBR,GCRR,78000
EBBR,LDZA,3001738
EBBR,LEAL,154499
EBBR,LEBL,3653992
EBBR,LEGE,0
EBBR,LEMD,6530470
EBBR,LEMG,3025489
EBBR,LETO,157015
EBBR,LEVC,766491
EBBR,LFBO,3826451
EBBR,LFLL,4756447
EBBR,LFML,3331852
EBBR,LFPG,2886000
EBBR,LHBP,3233972
EBBR,LIMC,1073988
EBBR,LIML,1176280
EBBR,LIPE,691493
EBBR,LIPZ,1459485
EBBR,LIRF,5734477
EBBR,LJLJ,1531481
EBBR,LKPR,3911956
EBBR,LKVO,458994
EBBR,LMML,936000
EBBR,LOWW,7847224
EBBR,LPFR,385497
EBBR,LPPR,619497
EBBR,LPPT,3347996
EBBR,LROP,630817
EBBR,LSGG,5479461
EBBR,LSZH,3230994
EBBR,LYBE,78000
EBBR,UKBB,790150
EBBR,UUEE,7620944
EBBR,EDDK,2095590
EBBR,EGGW,170499
EBBR,EGLC,50299
EBBR,EGSS,1496850
EBBR,GCLP,78000
EBBR,LPAR,0
EBCI,EDDL,9162
EBCI,EGCC,3239615
EBCI,EHBK,18324
EBCI,EHRD,18324
EBCI,LFBO,18324
EBCI,UMMS,851648
EBCI,EDMO,9162
EBCI,LEMG,1106210
EBCI,LFMK,1264240
EBCI,LROP,390000
EBLG,EDDK,4398705
EBLG,EFHK,0
EBLG,EFTU,0
EBLG,EGNX,579460
EBLG,ENGM,2394960
EBLG,LFPG,6219184
EBLG,LIMC,598740
EBLG,LIRF,0
EBLG,LSZH,241999
EBLG,EDDF,598740
EBLG,EGSS,2086056
EBLG,EHAM,1197480
EBLG,UUEE,396893
EDDB,EDDF,201131
EDDB,EDDN,0
EDDB,EDDT,76499
EDDB,EFLP,0
EDDB,EGKK,229497
EDDB,EKBI,0
EDDB,EKCH,1027195
EDDB,ELLX,305996
EDDB,ENGM,1889255
EDDB,ESSA,2491140
EDDB,LEBL,78000
EDDB,UKKK,858000
EDDB,UKLL,78000
EDDB,UMMS,1930440
EDDB,UUEE,13154299
EDDB,EDDM,125794
EDDB,EDGS,9162
EDDB,EGNX,553105
EDDB,EHAM,152998
EDDB,EIDW,553105
EDDB,ENVA,79015
