origin,dest,count
BIKF,EBLG,68038
BIKF,EDDF,68038
BIKF,EGLL,3597720
BIKF,ESSA,1681520
BIKF,EDFH,404999
BIKF,LSZH,136076
EBBR,EDDF,7082463
EBBR,EDDP,4418528
EBBR,EFHK,2642972
EBBR,EGLL,541369
EBBR,EGNX,476271
EBBR,EHAM,3103979
EBBR,LIRF,2927785
EBBR,LROP,67999
EBBR,UUEE,703066
EBBR,EDDK,1197480
EBBR,LEMD,2739352
EBBR,LFBO,680380
EBBR,LFPG,227929
EBBR,LHBP,76499
EBBR,LPPR,1084279
EBBR,UKBB,174200
EBCI,EHAM,609578
EBLG,EDDF,2939838
EBLG,EDDK,546578
EBLG,EFHK,2613000
EBLG,EFTU,696800
EBLG,EHAM,3909081
EBLG,EHBK,299370
EBLG,ENGM,586266
EBLG,ENVA,186879
EBLG,ESGG,174200
EBLG,LFPG,7999983
EBLG,LIMC,1352266
EBLG,LSZH,136076
EBLG,UUEE,843038
EBLG,UUWW,533519
EBLG,UWKD,793786
EBLG,EGSS,2086056
EBLG,GCLP,115892
EBLG,LEMD,1996818
EBLG,LEMG,68038
EBLG,LFBO,1224684
EBLG,LFML,1611638
EBLG,LPPR,2044304
EBLG,LPPT,218038
EBLG,LROP,174200
EDDB,EDDK,152998
EDDB,EDDL,78000
EDDB,UMMS,1507742
EDDB,EDDF,78000
EDDB,EDDT,171961
EDDB,EIDW,711135
EDDB,LRSB,76499
EDDB,UUEE,93499
EDDF,EDDH,6786426
EDDF,EDDK,1024931
EDDF,EDDL,1451141
EDDF,EDDM,17719013
EDDF,EDDP,11093931
EDDF,EDDT,14660013
EDDF,EDXW,100598
EDDF,EETN,3109320
EDDF,EFHK,6132715
EDDF,EGGW,51000
EDDF,EGLL,22469865
EDDF,EGNX,898110
EDDF,EGSS,10708065
EDDF,EHAM,18014177
EDDF,EHBK,2896740
EDDF,EKCH,7134556
EDDF,ENGM,8889509
EDDF,EPWA,58000
EDDF,ESGG,603588
EDDF,ESSA,11198364
EDDF,LDSP,78000
EDDF,LDZA,6436342
EDDF,LEBL,3462493
EDDF,LEMD,5962144
EDDF,LEPA,2343610
EDDF,LETO,426330
EDDF,LEZG,2436512
EDDF,LFPB,7842
EDDF,LFPG,17928573
EDDF,LIMC,12214150
EDDF,LIRF,9680361
EDDF,LKMT,174165
EDDF,LKPR,0
EDDF,LMML,4395795
EDDF,LOWW,22977023
EDDF,LPPR,1244658
EDDF,LPPT,7282415
EDDF,LSGG,3179043
EDDF,LSZH,13018792
EDDF,LYBE,229497
EDDF,UKBB,1377645
EDDF,UMMS,2020116
EDDF,UUEE,45480534
EDDF,UUWW,6352946
EDDF,EDDN,88319
EDDF,EDDV,158757
EDDF,EDFH,158757
EDDF,ENZV,1496850
EDDF,GCLP,122469
EDDF,LEMG,93499
EDDF,LFRN,340998
EDDF,LHBP,2993700
EDDF,LIPZ,4799
EDDF,LROP,114199
EDDH,EDDK,611992
EDDH,EDDL,2296471
EDDH,EDDM,6010117
EDDH,EDDS,1835976
EDDH,EHAM,2195204
EDDH,LEPA,3518954
EDDH,LIMC,101580
EDDH,LOWW,2294970
EDDH,LRSB,618396
EDDH,LSZH,560299
EDDH,EDDR,58512
EDDH,UKBB,174200
EDDK,EDDL,152998
EDDK,EDDM,2276102
EDDK,EDDP,3899696
EDDK,EDDS,152998
EDDK,EDDT,1070986
EDDK,EGNX,6826551
EDDK,EGPH,458994
EDDK,EGSS,10128701
EDDK,LDZA,764990
EDDK,LEPA,1835976
EDDK,LFPG,27857218
EDDK,LOWW,158757
EDDK,LPPT,1223984
EDDK,LRSB,229497
EDDK,EDDN,76499
EDDK,EDFH,276499
EDDK,LEBL,3175140
