origin,dest,count
EKRK,EKYT,32562
EKRK,EKRN,5352
EKRK,ESSB,9162
EKCH,EKYT,351984
EKCH,LHBP,79015
EKCH,LFPG,1158920
EKCH,EKEB,0
EKCH,ENGM,3463977
EKCH,ESGG,1534491
EKCH,ENZV,612342
EKCH,ESSA,2948810
EKCH,LSZH,67040
EKCH,ESSB,17968
EKCH,EKRN,0
EKCH,EPWA,58000
EKCH,EKMB,0
EKCH,LEAL,171961
EKCH,EKSB,19413
EKCH,LEMG,171961
EKCH,EKRK,0
EKTS,EKYT,0
EGPD,ENBR,29256
EGPD,EHAM,100598
EGPD,EIDW,3921
EGPD,EGPF,10704
EGPD,EGPK,0
EGPD,EGPE,0
EGLL,EGPD,152998
EGLL,LEMD,1113320
EGLL,EHAM,2216024
EGLL,LEBL,1219155
EGLL,UKBB,0
EGLL,LFPG,3515453
EGLL,EICK,780000
EGLL,EIDW,6030904
EGLL,EGPH,675493
EGLL,LSGG,968000
EGLL,EGPF,232499
EGLL,LPPT,696660
EGLL,LIRF,2929996
EGLL,LPPR,511497
EGLL,LIMC,1703483
EGLL,LFMN,78000
EGLL,LSZH,3044000
EGLL,LMML,1567485
EGLL,UUEE,2481693
EGLL,ESSA,511497
EGLL,UUWW,136076
EGLL,EHRD,63502
EGLL,LEMG,174165
EGLL,EGSS,78000
EGLL,LFMD,78000
EGLL,LXGB,174165
EGLL,LETO,76499
LEMD,LFPG,3476579
LEMD,LEVX,76499
LEMD,LFML,21999
LEMD,LEMH,76499
LEMD,LEPA,2840377
LEMD,LPPT,158030
LEMD,LIMC,1554304
LEMD,LEVC,637057
LEMD,UUEE,6063429
LEMD,LSZH,5442
LEMD,LOWW,447695
LEMD,LEMG,158030
LEMD,LFRS,4853
LEMD,LMML,8500
LEMD,LPPR,426691
LEMD,LIRF,471331
LEMD,LFLL,241999
LEMD,LFPB,46275
LEMD,LEZL,9162
EDDP,LEMD,3423336
EDDP,EHAM,6336953
EDDP,LEBL,1679811
EDDP,EGAA,340998
EDDP,EKBI,1043028
EDDP,LIPE,1704990
EDDP,LFBD,136076
EDDP,UKBB,871974
EDDP,LHBP,2613933
EDDP,LFPG,5031482
EDDP,LIRA,1770360
EDDP,EKCH,3954711
EDDP,EGNX,13239344
EDDP,EPGD,1043028
EDDP,LSGG,2190783
EDDP,EDDV,5352
EDDP,EFHK,1766275
EDDP,LROP,518175
EDDP,LIME,2673377
EDDP,EPKT,932348
EDDP,EGLL,1745338
EDDP,EGSS,612342
EDDP,LIPZ,2749912
EDDP,LIMC,3744349
EDDP,UUEE,5194766
EDDP,LFML,974568
EDDP,LFRS,1090460
EDDP,LFBO,347676
EDDP,ESSA,1534491
EDDP,LOWL,602818
EDDP,EPWA,1799068
EDDP,LZIB,3806722
EDDP,EDDS,340998
EDDP,LJLJ,544304
EDDP,ENGM,1437042
EDDP,EDVE,71352
EDDP,EGGW,1717613
EDDP,UUWW,1283696
EDDP,EDGS,3353
EDDP,EINN,371392
EDDP,LDZA,300000
EDDP,EDLW,6291
EDDP,EETN,78000
EDDP,LSZH,6291
EDDP,LFJL,9752
EDDP,LFPB,12500
ESSA,LEMD,1192500
ESSA,UKBB,163662
ESSA,LFPG,1157081
ESSA,LZIB,158030
ESSA,UMMS,304740
